title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Ariel,movie,"Comedy, Crime, Romance",1988.0,tt0094675,7.4,8801.0,JP
Shadows in Paradise,movie,"Comedy, Drama, Music",1986.0,tt0092149,7.5,7573.0,JP
Forrest Gump,movie,"Drama, Romance",1994.0,tt0109830,8.8,2324655.0,JP
The Fifth Element,movie,"Action, Adventure, Sci-Fi",1997.0,tt0119116,7.6,518268.0,JP
My Life Without Me,movie,"Drama, Romance",2003.0,tt0314412,7.4,26068.0,JP
Unforgiven,movie,"Drama, Western",1992.0,tt0105695,8.2,445282.0,JP
12 Monkeys,movie,"Mystery, Sci-Fi, Thriller",1995.0,tt0114746,8.0,656753.0,JP
Million Dollar Baby,movie,"Drama, Sport",2004.0,tt0405159,8.1,734481.0,JP
War of the Worlds,movie,"Action, Adventure, Sci-Fi",2005.0,tt0407304,6.5,483794.0,JP
Memento,movie,"Mystery, Thriller",2000.0,tt0209144,8.4,1352530.0,JP
Blade Runner,movie,"Action, Drama, Sci-Fi",1982.0,tt0083658,8.1,839986.0,JP
Indiana Jones and the Raiders of the Lost Ark,movie,"Action, Adventure",1981.0,tt0082971,8.4,1056399.0,JP
Indiana Jones and the Temple of Doom,movie,"Action, Adventure",1984.0,tt0087469,7.5,544111.0,JP
Indiana Jones and the Last Crusade,movie,"Action, Adventure",1989.0,tt0097576,8.2,825651.0,JP
Armageddon,movie,"Action, Adventure, Sci-Fi",1998.0,tt0120591,6.7,459222.0,"JP, US"
All About My Mother,movie,"Comedy, Drama, Romance",1999.0,tt0185125,7.8,104978.0,JP
Predator,movie,"Action, Adventure, Horror",1987.0,tt0093773,7.8,468335.0,US
Pretty Woman,movie,"Comedy, Romance",1990.0,tt0100405,7.1,375858.0,JP
Match Point,movie,"Drama, Romance, Thriller",2005.0,tt0416320,7.6,231416.0,JP
Charlie and the Chocolate Factory,movie,"Adventure, Comedy, Family",2005.0,tt0367594,6.7,541821.0,JP
The Lord of the Rings: The Fellowship of the Ring,movie,"Action, Adventure, Drama",2001.0,tt0120737,8.9,2063079.0,JP
The Lord of the Rings: The Two Towers,movie,"Action, Adventure, Drama",2002.0,tt0167261,8.8,1833514.0,JP
The Lord of the Rings: The Return of the King,movie,"Action, Adventure, Drama",2003.0,tt0167260,9.0,2033401.0,JP
"O Brother, Where Art Thou?",movie,"Comedy, Crime, Drama",2000.0,tt0190590,7.7,337100.0,US
Donnie Darko,movie,"Drama, Mystery, Sci-Fi",2001.0,tt0246578,8.0,868105.0,US
Wings of Desire,movie,"Drama, Fantasy, Romance",1987.0,tt0093191,7.9,79383.0,JP
Akira,movie,"Action, Animation, Drama",1988.0,tt0094625,8.0,211181.0,JP
Lost in Translation,movie,"Comedy, Drama",2003.0,tt0335266,7.7,503148.0,JP
The Dark Knight,movie,"Action, Crime, Drama",2008.0,tt0468569,9.0,2951998.0,JP
Edward Scissorhands,movie,"Drama, Fantasy, Romance",1990.0,tt0099487,7.9,538257.0,US
Ocean's Twelve,movie,"Crime, Thriller",2004.0,tt0349903,6.5,421218.0,JP
Breakfast at Tiffany's,movie,"Comedy, Drama, Romance",1961.0,tt0054698,7.6,195851.0,JP
Back to the Future Part II,movie,"Adventure, Comedy, Sci-Fi",1989.0,tt0096874,7.8,587168.0,JP
K-PAX,movie,"Drama, Mystery, Sci-Fi",2001.0,tt0272152,7.4,195440.0,JP
Predator 2,movie,"Action, Horror, Sci-Fi",1990.0,tt0100403,6.3,188189.0,US
Saw,movie,"Horror, Mystery, Thriller",2004.0,tt0387564,7.6,481306.0,JP
Minority Report,movie,"Action, Crime, Mystery",2002.0,tt0181689,7.6,594545.0,JP
Sin City,movie,"Crime, Thriller",2005.0,tt0401792,8.0,801168.0,JP
Sin City: A Dame to Kill For,movie,"Action, Crime, Thriller",2014.0,tt0458481,6.5,172875.0,JP
Amélie,movie,"Comedy, Romance",2001.0,tt0211915,8.3,807844.0,JP
Back to the Future Part III,movie,"Adventure, Comedy, Sci-Fi",1990.0,tt0099088,7.4,492068.0,JP
Dead Poets Society,movie,"Comedy, Drama",1989.0,tt0097165,8.1,570896.0,US
Indiana Jones and the Kingdom of the Crystal Skull,movie,"Action, Adventure",2008.0,tt0367882,6.2,497692.0,JP
Volver,movie,"Comedy, Drama",2006.0,tt0441909,7.6,108920.0,JP
The Godfather,movie,"Crime, Drama",1972.0,tt0068646,9.2,2072012.0,JP
The Godfather Part II,movie,"Crime, Drama",1974.0,tt0071562,9.0,1398804.0,JP
Natural Born Killers,movie,"Action, Crime, Romance",1994.0,tt0110632,7.2,256674.0,JP
High Fidelity,movie,"Comedy, Drama, Music",2000.0,tt0146882,7.4,192776.0,US
Ghost,movie,"Drama, Fantasy, Romance",1990.0,tt0099653,7.1,242412.0,JP
Willy Wonka & the Chocolate Factory,movie,"Adventure, Comedy, Family",1971.0,tt0067992,7.8,232966.0,JP
Batman,movie,"Action, Adventure",1989.0,tt0096895,7.5,413904.0,JP
Batman Begins,movie,"Action, Crime, Drama",2005.0,tt0372784,8.2,1615844.0,JP
The Shawshank Redemption,movie,Drama,1994.0,tt0111161,9.3,2970653.0,JP
Ocean's Thirteen,movie,"Crime, Thriller",2007.0,tt0496806,6.9,373265.0,JP
Once Upon a Time in America,movie,"Crime, Drama",1984.0,tt0087843,8.3,386748.0,JP
Mystic River,movie,"Crime, Drama, Mystery",2003.0,tt0327056,7.9,495845.0,JP
Jurassic Park,movie,"Action, Adventure, Sci-Fi",1993.0,tt0107290,8.2,1095240.0,JP
Jurassic Park III,movie,"Action, Adventure, Sci-Fi",2001.0,tt0163025,5.9,347144.0,JP
Eyes Wide Shut,movie,"Drama, Mystery, Thriller",1999.0,tt0120663,7.5,387702.0,JP
Alien,movie,"Horror, Sci-Fi",1979.0,tt0078748,8.5,992954.0,US
The Devil Wears Prada,movie,"Comedy, Drama",2006.0,tt0458352,6.9,486598.0,JP
Batman Returns,movie,"Action, Crime, Fantasy",1992.0,tt0103776,7.1,335133.0,JP
Alien vs. Predator,movie,"Action, Adventure, Horror",2004.0,tt0370263,5.7,220067.0,US
La Strada,movie,Drama,1954.0,tt0047528,8.0,67538.0,JP
Batman Forever,movie,"Action, Adventure",1995.0,tt0112462,5.4,271101.0,JP
Batman & Robin,movie,"Action, Sci-Fi",1997.0,tt0118688,3.8,272619.0,JP
8½,movie,Drama,1963.0,tt0056801,8.0,127422.0,JP
The Day After Tomorrow,movie,"Action, Adventure, Sci-Fi",2004.0,tt0319262,6.5,489087.0,US
Aliens vs. Predator: Requiem,movie,"Action, Horror, Sci-Fi",2007.0,tt0758730,4.6,138488.0,US
A Beautiful Mind,movie,"Biography, Drama, Mystery",2001.0,tt0268978,8.2,1006464.0,JP
Good Will Hunting,movie,"Drama, Romance",1997.0,tt0119217,8.3,1105500.0,JP
The Seventh Seal,movie,"Drama, Fantasy",1957.0,tt0050976,8.1,203536.0,JP
Reservoir Dogs,movie,"Crime, Thriller",1992.0,tt0105236,8.3,1113322.0,JP
Poseidon,movie,"Action, Adventure, Thriller",2006.0,tt0409182,5.7,111944.0,JP
Monster,movie,"Biography, Crime, Drama",2003.0,tt0340855,7.3,165407.0,JP
Fight Club,movie,Drama,1999.0,tt0137523,8.8,2401226.0,"JP, US"
Constantine,movie,"Action, Fantasy, Horror",2005.0,tt0360486,7.0,384352.0,JP
Die Hard,movie,"Action, Thriller",1988.0,tt0095016,8.2,965526.0,US
The Ring,movie,"Horror, Mystery",2002.0,tt0298130,7.1,384227.0,JP
2 Fast 2 Furious,movie,"Action, Crime, Thriller",2003.0,tt0322259,5.9,304374.0,JP
The Terminal,movie,"Comedy, Drama, Romance",2004.0,tt0362227,7.4,506368.0,JP
Titanic,movie,"Drama, Romance",1997.0,tt0120338,7.9,1314858.0,JP
E.T. the Extra-Terrestrial,movie,"Adventure, Family, Sci-Fi",1982.0,tt0083866,7.9,446948.0,JP
Independence Day,movie,"Action, Adventure, Sci-Fi",1996.0,tt0116629,7.0,618875.0,"JP, US"
The Matrix,movie,"Action, Sci-Fi",1999.0,tt0133093,8.7,2108610.0,JP
The Matrix Reloaded,movie,"Action, Sci-Fi",2003.0,tt0234215,7.2,642986.0,JP
The Matrix Revolutions,movie,"Action, Sci-Fi",2003.0,tt0242653,6.7,553372.0,JP
Wild Strawberries,movie,"Drama, Romance",1957.0,tt0050986,8.1,117743.0,JP
The Last Samurai,movie,"Action, Drama",2003.0,tt0325710,7.8,481071.0,JP
The Bodyguard,movie,"Action, Drama, Music",1992.0,tt0103855,6.4,151315.0,JP
Trainspotting,movie,Drama,1996.0,tt0117951,8.1,739194.0,JP
The Usual Suspects,movie,"Crime, Drama, Mystery",1995.0,tt0114814,8.5,1168768.0,JP
Life Is Beautiful,movie,"Comedy, Drama, Romance",1997.0,tt0118799,8.6,761348.0,JP
Catch Me If You Can,movie,"Biography, Crime, Drama",2002.0,tt0264464,8.1,1132966.0,JP
A.I. Artificial Intelligence,movie,"Adventure, Drama, Sci-Fi",2001.0,tt0212720,7.2,327814.0,JP
"Paris, Texas",movie,Drama,1984.0,tt0087884,8.1,126485.0,JP
La Jetée,movie,"Drama, Romance, Sci-Fi",1962.0,tt0056119,8.2,37864.0,JP
Saw IV,movie,"Horror, Mystery, Thriller",2007.0,tt0890870,5.9,168895.0,JP
Twister,movie,"Action, Adventure, Thriller",1996.0,tt0117998,6.5,239336.0,JP
Oldboy,movie,"Action, Drama, Mystery",2003.0,tt0364569,8.3,658308.0,JP
Harry Potter and the Sorcerer's Stone,movie,"Adventure, Family, Fantasy",2001.0,tt0241527,7.7,881781.0,JP
Harry Potter and the Chamber of Secrets,movie,"Adventure, Family, Fantasy",2002.0,tt0295297,7.4,711746.0,JP
Harry Potter and the Prisoner of Azkaban,movie,"Adventure, Family, Fantasy",2004.0,tt0304141,7.9,711629.0,JP
Harry Potter and the Goblet of Fire,movie,"Adventure, Family, Fantasy",2005.0,tt0330373,7.7,700247.0,JP
Harry Potter and the Order of the Phoenix,movie,"Action, Adventure, Family",2007.0,tt0373889,7.5,650661.0,JP
Aliens,movie,"Action, Adventure, Sci-Fi",1986.0,tt0090605,8.4,793257.0,US
Pulp Fiction,movie,"Crime, Drama",1994.0,tt0110912,8.9,2280695.0,JP
The Bridges of Madison County,movie,"Drama, Romance",1995.0,tt0112579,7.6,91144.0,JP
The Piano,movie,"Drama, Music, Romance",1993.0,tt0107822,7.5,96975.0,JP
The Sixth Sense,movie,"Drama, Mystery, Thriller",1999.0,tt0167404,8.2,1078897.0,JP
The Last Emperor,movie,"Biography, Drama, History",1987.0,tt0093389,7.7,113794.0,JP
V for Vendetta,movie,"Action, Drama, Sci-Fi",2005.0,tt0434409,8.1,1199437.0,JP
Faces,movie,Drama,1968.0,tt0062952,7.4,12014.0,JP
From Dusk Till Dawn,movie,"Action, Crime, Horror",1996.0,tt0116367,7.2,348787.0,JP
Harry Potter and the Half-Blood Prince,movie,"Action, Adventure, Family",2009.0,tt0417741,7.6,612439.0,JP
From Hell,movie,"Crime, Horror, Mystery",2001.0,tt0120681,6.7,166732.0,US
Mr. & Mrs. Smith,movie,"Action, Comedy, Crime",2005.0,tt0356910,6.5,555265.0,JP
Mrs. Doubtfire,movie,"Comedy, Drama",1993.0,tt0107614,7.1,299006.0,US
Roman Holiday,movie,"Comedy, Drama, Romance",1953.0,tt0046250,8.0,150312.0,JP
Se7en,movie,"Crime, Drama, Mystery",1995.0,tt0114369,8.6,1856919.0,JP
JFK,movie,"Drama, History, Thriller",1991.0,tt0102138,8.0,173727.0,JP
Dune,movie,"Action, Adventure, Sci-Fi",1984.0,tt0087182,6.3,183924.0,JP
Enemy at the Gates,movie,"Action, Drama, War",2001.0,tt0215750,7.5,282067.0,JP
The Mask,movie,"Action, Comedy, Crime",1994.0,tt0110475,7.0,435323.0,JP
Saving Private Ryan,movie,"Drama, War",1998.0,tt0120815,8.6,1536140.0,JP
Tsotsi,movie,"Crime, Drama",2005.0,tt0468565,7.2,31829.0,JP
Crash,movie,Drama,1996.0,tt0115964,6.4,68034.0,JP
Gremlins,movie,"Comedy, Fantasy, Horror",1984.0,tt0087363,7.3,255102.0,JP
Gremlins 2: The New Batch,movie,"Comedy, Fantasy, Horror",1990.0,tt0099700,6.4,115239.0,JP
Lethal Weapon,movie,"Action, Crime, Thriller",1987.0,tt0093409,7.6,282260.0,JP
Lethal Weapon 2,movie,"Action, Crime, Thriller",1989.0,tt0097733,7.3,192769.0,JP
Lethal Weapon 3,movie,"Action, Crime, Thriller",1992.0,tt0104714,6.7,181740.0,JP
Lethal Weapon 4,movie,"Action, Crime, Thriller",1998.0,tt0122151,6.6,174845.0,JP
Heat,movie,"Action, Crime, Drama",1995.0,tt0113277,8.3,738190.0,JP
Ice Age: The Meltdown,movie,"Adventure, Animation, Comedy",2006.0,tt0438097,6.8,302913.0,US
Madagascar,movie,"Adventure, Animation, Comedy",2005.0,tt0351283,6.9,448953.0,US
Mission: Impossible,movie,"Action, Adventure, Thriller",1996.0,tt0117060,7.2,480255.0,JP
Mission: Impossible III,movie,"Action, Adventure, Thriller",2006.0,tt0317919,6.9,397811.0,JP
Dirty Harry,movie,"Action, Crime, Thriller",1971.0,tt0066999,7.7,172282.0,JP
The Queen,movie,"Biography, Drama",2006.0,tt0436697,7.3,116941.0,JP
The Talented Mr. Ripley,movie,"Crime, Drama, Thriller",1999.0,tt0134119,7.4,256585.0,JP
Hannibal Rising,movie,"Adventure, Crime, Drama",2007.0,tt0367959,6.1,117834.0,JP
Ghost Rider,movie,"Action, Fantasy, Thriller",2007.0,tt0259324,5.3,257298.0,US
Letters from Iwo Jima,movie,"Action, Adventure, Drama",2006.0,tt0498380,7.8,172143.0,JP
The Host,movie,"Drama, Horror, Sci-Fi",2006.0,tt0468492,7.1,135683.0,"JP, US"
Street Kings,movie,"Action, Crime, Thriller",2008.0,tt0421073,6.8,122657.0,JP
300,movie,"Action, Drama",2006.0,tt0416449,7.6,878993.0,JP
The Dreamers,movie,"Drama, Romance",2003.0,tt0309987,7.1,135129.0,JP
Sex and Lucía,movie,"Drama, Romance",2001.0,tt0254455,7.0,39312.0,JP
Lights in the Dusk,movie,"Crime, Drama",2006.0,tt0458242,6.8,8219.0,JP
Y tu mamá también,movie,Drama,2001.0,tt0245574,7.7,131009.0,US
Nostalghia,movie,Drama,1983.0,tt0086022,7.9,30980.0,JP
La Vie En Rose,movie,"Biography, Drama, Music",2007.0,tt0450188,7.5,91701.0,JP
The Departed,movie,"Crime, Drama, Thriller",2006.0,tt0407887,8.5,1456618.0,JP
The Warrior,movie,"Action, Drama, History",2001.0,tt0275083,7.2,11354.0,JP
The Virgin Suicides,movie,"Drama, Romance",1999.0,tt0159097,7.2,174561.0,JP
Immortality,movie,"Crime, Mystery, Romance",1998.0,tt0120894,6.2,6229.0,JP
Superman Returns,movie,"Action, Adventure, Sci-Fi",2006.0,tt0348150,6.1,293840.0,JP
Miss Congeniality,movie,"Action, Comedy, Crime",2000.0,tt0212346,6.3,235806.0,JP
Spy Game,movie,"Action, Crime, Thriller",2001.0,tt0266987,7.1,170454.0,JP
Collateral,movie,"Action, Crime, Drama",2004.0,tt0369339,7.5,442011.0,JP
Office Space,movie,Comedy,1999.0,tt0151804,7.6,294603.0,US
28 Weeks Later,movie,"Horror, Sci-Fi",2007.0,tt0463854,6.9,300488.0,US
Live Free or Die Hard,movie,"Action, Thriller",2007.0,tt0337978,7.1,425123.0,"JP, US"
Die Hard with a Vengeance,movie,"Action, Adventure, Thriller",1995.0,tt0112864,7.6,414537.0,"JP, US"
Die Hard 2,movie,"Action, Thriller",1990.0,tt0099423,7.1,389356.0,US
